nagromadzenie G2_następstwo
głos G2_gehenna
agresja AND_rezygnacja
walec G1_żołnierz
opowiadanie G2_lektura
zmierzch SUBJ_nastąpić
uderzająco G2_kobieta
ruch malutki
warstwa G1_bielidło
konieczność G1_zaplanowanie
wystawa słynny
perspektywa SUBJ_rozszerzyć
tekst G2_przewrócenie
wagon G1_towar
ciepło AND_elektryczność
absolut G2_zespół
zasłona SUBJ_układać
obcokrajowiec G2_przyjazd
realizacja najszybszy
starożytność G2_traktowanie
organizator AND_widownia
odwrót AND_ofensywa
operacja G1_uświadamianie
wywiewanie G1_związek
stawienie G2_oczekiwanie
dopuszczalność G2_wyjaśnienie
marta G2_rzut
pióro wybuchowy
polska G2_obywatel
wystąpienie AND_petycja
nurkowanie G2_sprawa
budynek niezabezpieczony
amerykanin SUBJ_ogarnąć
telefonizacja SUBJ_zakończyć
ankieta SUBJ_zrobić
kolejność G1_kwalifikowanie
wydajność AND_kondycja
reklama stary
częstotliwość G1_kontakt
skarbnik AND_leśniewski
aktyw G2_weryfikacja
mowa G2_ślad
list G1_przestępca
polityk radziecki
piłkarz angolski
biadanie G1_człowiek
sekretarz AND_dziwisz
capstrzyk SUBJ_być
polewanie G2_dzień
janusz SUBJ_poprzeć
paleta odpowiedni
werbel AND_wojsko
uczucie G2_pański
lotnictwo SUBJ_podpisać
brać G1_ptak
rozmówca SUBJ_zdjąć
powołanie równoczesny
kandydatura SUBJ_podlegać
dziecko G2_tycie
adwokat SUBJ_reprezentować
zawodniczka SUBJ_doznać
młyn AND_browar
statystyk AND_napisanie
mirosław AND_danuta
fauna G2_rozpoznawanie
obcowanie G1_myśliwy
skurwysyn największy
posykiwanie AND_śpiew
bitwa G2_rejon
poprawa G1_wykrywalność
myślenie AND_podjęcie
gama SUBJ_olbrzymieć
promocja AND_lobbing
gabriela AND_mańka
gość zaspany
mikroświat G2_badanie
wymiana G1_stolarka
afrodyta G2_świątynia
efektywność G1_gospodarstwo
okolica G1_magazyn
materiał G2_selekcja
pogląd G2_lista
zurbanizowanie G1_krajobraz
jakub SUBJ_upić
kształcenie AND_formacja
modem AND_technologia
wspólnik AND_kochanek
mirek SUBJ_wyjaśniać
głodowski AND_jerzy
cyceron G2_list
bohaterka G1_tekst
stadnina G2_właścicielka
inżynier SUBJ_odwiedzić
paczka SUBJ_zjadać
pasko SUBJ_włączać
samoograniczenie G2_dopełnienie
orzecznictwo dostępny
spisa G1_rozdział
lasek kozi
wysokość SUBJ_zależeć
marian SUBJ_odwiedzić
magda G2_żyto
staranie G2_mężuś
nadzór G2_decentralizacja
prostytutka AND_striptizerka
jodła SUBJ_ścinać
wnętrze G1_olejarnia
tajemnica SUBJ_statuować
pracodawca SUBJ_cenić
wezwanie stary
figurka AND_lalka
serce G1_mieszaniec
słownictwo G1_beza
proces G1_restrukturyzacja
potrzeba G1_pobycie
sala klasycystyczny
wyczerpanie G1_siła
rozgłośnia G2_korytarz
płóz SUBJ_powiększać
organizacja AND_zaludnienie
kolekcja SUBJ_dokumentować
pismo G2_wznowienie
piłka AND_przeciwdziałanie
średniowiecze SUBJ_decydować
zarząd G2_proklamowanie
klasa specjalny
autorek SUBJ_jednać
dach SUBJ_błyszczeć
wyspa trójkątny
mol G2_chmara
dostarczanie G1_pobudzenie
gnicie G1_dusza
niezwykłość AND_zwyczajność
akcja AND_wspólnik
islam SUBJ_zarządzić
buda ruchomy
występ G1_twórca
postawa G2_laicyzacja
włodzimierz G2_nos
akapit G2_obecność
wola AND_siarka
samsung G2_człowiek
praktyka G1_mądrość
bank AND_zakład
spadek AND_frankfurt
szaleństwo G2_ocena
synonim AND_rym
pomoc G2_infolinia
intensyfikacja G1_tranzyt
para G1_wers
wirtuozeria AND_alchemia
brak AND_wyczerpanie
tłumaczenie AND_oryginał
kolejarz SUBJ_żądać
reakcja główny
anderlecht SUBJ_wygrywać
zmaganie G1_człowiek
kieszeń przepastny
szafka SUBJ_otworzyć
składanie samodzielny
zachowanie G1_córka
krzysztof AND_samuel
bambus SUBJ_poróść
ściana G1_taras
pomysł G1_dołączenie
harold G2_postępek
węgier prawdziwy
lampa pobliski
znęcanie SUBJ_ilustrować
człowiek G2_fetysz
wykrój G1_plac
zdarzenie G2_pył
dna G1_siedząco
ziemianka G1_szef
powieka G2_podtrzymywanie
miasteczko różny
artur SUBJ_przyczynić
powikłanie G2_grypa
eliminacja G1_zapis
szkoda G2_wyrządzenie
rozwijanie G1_baza
paleta SUBJ_służyć
zużycie AND_starzenie
perlistość AND_opał
kania AND_aster
młócenie G2_obyczaj
posłowie SUBJ_przeciwić
odpowiedź AND_odczyt
niechęć AND_antropocentryzm
wykorzystywanie SUBJ_uczyć
czasownik SUBJ_obejmować
jeździec tatarski
pużak SUBJ_pogrześć
przedostanie G2_ryzyko
wystawa SUBJ_popularyzować
piramida G1_strych
pizda G1_didżej
belka SUBJ_rezygnować
brytania G2_siła
prolongata kolejny
zamysł G1_terrorysta
biskup AND_ziółko
pozdrowienie G1_stróż
zrozumienie SUBJ_podstawić
wizyta późniejszy
indeks G1_aminokwas
przywilej SUBJ_odpowiadać
salwa SUBJ_gruchnąć
dymitr SUBJ_prawić
loteria SUBJ_przygotowywać
róg imponujący
fantazja AND_pewność
horyzont AND_plan
poufność SUBJ_gwarantować
ekspert AND_uczestnik
dżem AND_miód
kijak G1_mieszek
podnóże G1_wzgórze
prawo następujący
zdanie kulawy
efekt SUBJ_neutralizować
podkomisja SUBJ_dziać
przewodnicząca AND_wiceprzewodniczący
młodzież SUBJ_popić
żołnierz G2_wyszkolenie
bar SUBJ_pełnić
owoc SUBJ_przetrwać
kamil SUBJ_spytać
wnioskodawca AND_przeciwnik
pomoc aktualny
panna SUBJ_pokończyć
ziemianin AND_wykorzystanie
pełnomocnictwo AND_zlecenie
donosicielstwo G2_tradycja
funkcjonowanie G1_metro
pot G1_żniwo
plan AND_harmonogram
urbaniak SUBJ_trenować
obraza G2_pot
skreślenie AND_wykluczenie
współpraca AND_nawiązanie
obsesja SUBJ_krążyć
presja AND_niecierpliwość
impreza AND_konwent
motyw AND_mord
bankowość G1_mama
europarlament G2_gmach
niebezpieczeństwo AND_atak
dziennikarstwo prawdziwy
zawarcie SUBJ_dokumentować
ciemno SUBJ_rzucać
bolszewik SUBJ_spalić
towarzystwo SUBJ_obsiąść
powieść G2_dzieciństwo
rozporządzenie SUBJ_wyjść
sanktuarium rudzki
nacja SUBJ_umieć
kopiec duży
słownictwo dosadny
prawo rozległy
krawężnik AND_ściek
autostrada AND_wiadukt
zespół AND_załoga
ubezwłasnowolnienie G1_prezydent
radny SUBJ_nakłonić
zbiórka AND_bal
ucho wielki
wieczór G1_sztuka
utrzymywanie G1_stan
członkostwo G1_kraj
wykonywanie G2_takt
woźnica G1_trojka
wicedyrektor G1_szkoła
emisja ogólnoświatowy
zaraza AND_śmieszka
udokumentowanie AND_przygotowanie
romanizacja AND_latynizacja
strój AND_koral
lokator G2_czwórka
pyta AND_kobieta
ziemia AND_pasmo
nonkonformizm artystyczny
underground AND_popiół
matka G2_zabójca
turniej G1_marzenie
władanie G2_sposób
wicher SUBJ_wezbrać
kiełbaska G2_pieczenie
uchodźca uczony
okrąg SUBJ_powstać
rola sztandarowy
jurek AND_erazm
obrazka SUBJ_dostawać
proza SUBJ_przenosić
trudność AND_stres
nieszczęście SUBJ_zastępować
wycieczka G2_turysta
protest późniejszy
lęk AND_zachcianka
podwyższenie G1_umiejętność
furman AND_woźny
idea G2_upolitycznianie
kartka SUBJ_wylosować
rwetes AND_panika
niesmak AND_lekceważenie
kradzież G1_księga
gomółka SUBJ_pozwolić
podróżowanie AND_przyjemność
psychoterapeuta G1_doktor
pieniądz G2_zabezpieczenie
krok G2_regularność
nastolatek AND_mieszkanka
grzech G1_waga
srebro G2_zapotrzebowanie
piłkarz SUBJ_wypunktować
jarzyna AND_kotlet
wyrażenie błędny
kancelaria SUBJ_zredagować
mikroprocesor SUBJ_informować
impotencja G2_przedstawiciel
wskaźnik G1_analiza
fascynacja G2_rezultat
meta SUBJ_wykorzystywać
mechanizm AND_manipulacja
dyplomacja G2_działalność
utwór G2_odśpiewanie
autorytet G2_podniesienie
chłód AND_półmrok
premiera G2_konkurs
nowatorstwo AND_ekskluzywność
koziński SUBJ_grzmieć
tynkowanie SUBJ_zlecieć
przystosowanie AND_tworzenie
płycizna SUBJ_dostrzegać
śniegowiec AND_pantofelek
szczenię SUBJ_przetoczyć
odpad G1_pochodzenie
czas G1_reagowanie
salto SUBJ_przebić
istnienie SUBJ_zasugerować
propagator AND_obrońca
marzena SUBJ_wysilić
butelka AND_karabin
testament papieski
przykład G1_uchybienie
przewietrzanie G1_aglomeracja
granica G1_odprawa
antoni SUBJ_zapisywać
sąsiad SUBJ_podpalić
dziura asfaltowy
promieniowanie SUBJ_uwzględniać
but SUBJ_ściągać
lud AND_ołtarz
odstęp G2_pomniejszenie
podsumowanie SUBJ_brzmieć
miejsce G1_bandera
tęsknota SUBJ_usprawiedliwić
przepustka G2_biuro
władczyni G2_rejestr
rachunek SUBJ_odłożyć
dowóz G1_turysta
krawędź G1_selekcja
pojęcie G1_utrudnianie
komisja analogiczny
parametr SUBJ_szeregować
obmyślenie AND_wykonanie
gałąź SUBJ_dokładać
gol G2_festiwal
szybka AND_podole
złóg SUBJ_odnaleźć
relacja odmienny
przeciwnik G1_kwidzynianin
postęp AND_przetrwanie
beztroska G2_problem
jasność G1_wyświetlanie
grono G2_pozyskanie
joachim G2_przyjaciel
oświetlenie G1_lokal
warunek G1_destabilizacja
wiedza AND_balistyka
przepis niezbędny
jarosława G2_kampka
ariadna SUBJ_spędzić
ikona G1_pinezka
kolumna G2_porządek
palma AND_mapa
dekomunizacja SUBJ_oznaczać
adresat G1_wniosek
kurator SUBJ_przeforsować
podgardle duży
krzysztof AND_bratkowski
komputer G2_makieta
otwartość G2_granica
akcyza AND_określenie
amplituner AND_radioodbiornik
przeciwieństwo AND_sprzeczność
frasyniuk SUBJ_pogrześć
farba AND_papier
podatnik AND_rachunek
półka G1_książka
życzenie SUBJ_posłać
lew G2_puchar
hamas G2_zwycięstwo
naród SUBJ_pójść
komentarz G2_przesłanie
korzeń SUBJ_powywalać
narta G2_przewożenie
rynka G2_szturm
zakotwiczenie AND_przycumowanie
karpaty G2_teren
poprzednik liczny
stwierdzenie AND_dokonanie
mściciel samotny
konrad G1_szwed
kulturoznawca polski
paczenie AND_pękanie
krzak stary
burmistrz G1_ryglica
terminowość G1_refundowanie
kobieta złoty
lakier SUBJ_prezentować
samokierowanie AND_konformizm
jezioro G2_lustro
negroid AND_populacja
pozycja G1_kręgosłup
rytuał AND_zabieg
grzywna AND_jadwiga
gmin G1_jarosława
dar G1_widzenie
tatry AND_sudety
produkt G2_wprowadzanie
sieć AND_powiązanie
galman G2_kopalnia
wychowawca AND_terapeuta
jerzy G2_nagrobek
osoba G1_monarcha
prymas SUBJ_uznawać
karol SUBJ_odsuwać
konsolidacja AND_ekspansja
kilka G1_regał
działka G2_odmierzenie
lotnisko gdyński
łóżko AND_sprzęt
skonsumowanie G1_muchomor
śpiewka AND_harmoszka
badanie wieloletni
grot AND_skała
wykręcanie AND_wkręcanie
bezpartyjność G1_prezydent
kara powszechny
ciąża AND_samolot
ściana G2_pomalowanie
strzała SUBJ_przeszyć
ogrzewanie AND_energetyka
zakończenie G2_moment
hipermarket SUBJ_wybudować
bezsilność AND_poczucie
trop SUBJ_tracić
tekst G1_kołakowski
wcielenie ostateczny
sala AND_współfinansowanie
szkło G1_talent
iwan SUBJ_powiedzieć
terytorium papieski
stan G2_insygnium
jura SUBJ_startować
boisko SUBJ_dopuścić
sekcja G2_prezes
oryginał G2_uzyskiwanie
puszcza AND_bora
coś SUBJ_wyszarpać
rozwiązanie ofensywny
opór stawiany
tarnów AND_mielec
spodnie AND_kurtka
łączenie G1_filozofowanie
oferta G1_iskra
świństwo G2_pan
gangster G2_bus
ustępstwo ewentualny
kongres G1_rodzina
lach AND_krzeptowski
zawartość SUBJ_zapisać
zgięcie G1_noga
łuszczak G2_część
skałka G2_postawa
weteran G1_śląskie
wyrób G2_składnica
lojalność AND_wesołość
panowanie dziedziczny
urzędnik SUBJ_kierować
internauta G2_kreatywność
zamiar wrogi
nasturcja AND_aster
uwaga G1_podręcznik
przesłanka SUBJ_łączyć
luksus staroświecki
komfort SUBJ_dawać
ropa G2_dostarczanie
zbudowanie G1_portfel
święta AND_rytuał
zaklęcie AND_klątwa
podział SUBJ_rozważyć
stoisko SUBJ_skontrolować
zbliżenie G2_kategoria
połowiczność G2_grzech
chmiel SUBJ_lubić
folder G1_marianin
pozwolenie G1_ministerstwo
zasada G1_naśladownictwo
kreowanie SUBJ_wybrać
wynalazca belgijski
organizacja SUBJ_zwinąć
konkretność AND_zmniejszenie
kazimierz SUBJ_znosić
faktura G1_wydatek
kot SUBJ_wybijać
wygrana G2_święto
żal AND_litość
wiedza AND_formacja
poprawka SUBJ_doprecyzować
kilka AND_słońce
faszyzm AND_reszta
numerek SUBJ_dokupywać
doktór G2_laska
sankcja G2_zestaw
marka świetny
niespójność AND_brzydota
przyłączanie G2_procedura
mieszkaniec G1_ameryka
ulica oznakowany
blat SUBJ_przecierać
kwiatek AND_warzywo
procedura G1_wystawianie
trylogia G1_henryk
potknięcie AND_grzech
pachołek SUBJ_kończyć
refleks SUBJ_położyć
całość G1_stado
pokuta SUBJ_występować
potomstwo G1_pszczoła
franciszek G2_tylka
koło AND_bok
sukno SUBJ_tężeć
wprowadzenie SUBJ_oznaczać
futro AND_śnieg
reorganizacja AND_wypoczynek
przegląd G1_służąca
adresowanie G1_kampania
dar duchowy
twarz G1_włoch
stosowanie G1_urna
grzebyk AND_wstążeczka
podejście AND_wyważenie
nazwisko AND_rod
zjawisko G2_podmiot
instytucja nieokreślony
błogosławieństwo G2_tylka
pani SUBJ_skorzystać
lobbing AND_pomoc
ziemia G2_status
policja dębicki
wilgoć AND_utrata
kierowca AND_charakterystyka
beza G2_tarnowian
widok G1_osełka
polano G1_lasek
poprzeczka różny
dekadencja AND_deprawacja
oszukanie G2_cień
połączenie AND_pełnia
wypowiedź SUBJ_prostować
opiekun G2_wypowiedź
premia G2_model
bluza AND_motocykl
uczucie SUBJ_odzwierciedlać
kategoria AND_okres
jastrząb prawicowy
głośnik G2_tuba
opera G2_aria
ford G2_losowanie
zniesławienie AND_oszustwo
socjaldemokrata AND_wolnomyśliciel
kopaiwa AND_wanilia
akcja zaimprowizowany
radiomagnetofon AND_aparat
wywrót G1_teoria
skrzypienie AND_trzask
papieros wymięty
cokół AND_szaniec
interes G1_patogen
biskup SUBJ_przewodniczyć
pokarm AND_chronienie
przypadek SUBJ_lec
próba G1_wyłączenie
usługodawca AND_montażownia
helsinki G2_środek
epopeja AND_niewola
uzbrojenie AND_wyekwipowanie
dzień SUBJ_zaprzątać
środowisko regionalny
koreczek AND_szynk
gloria AND_głębia
szóstoklasista SUBJ_zdobyć
pomoc G1_zasobnik
anda G2_soul
dziennikarka AND_podróżniczka
starość SUBJ_dostać_dostoi
następca przewidywany
palec SUBJ_nakłuwać
alkoholizm AND_bezdomność
szyderstwo AND_prześmiechy
cwaniaczek AND_złodziejaszek
koneser AND_smakosz
głowa potargany
gimnastyka SUBJ_uznać
precyzja AND_wytrzymałość
zawłaszczanie G2_sposób
część AND_łeb
syn G1_czesława
ryszard AND_palka
jezioro G1_fiolet
cech G2_wiceprzewodnicząca
gród G1_polana
zieliński SUBJ_potwierdzić
wieśniak AND_szlachcic
pielgrzymka G2_sponsor
stanięcie SUBJ_proponować
odpowiedź G1_odbiorca
kawalątko SUBJ_dać
interwencja G1_radna
kontakt AND_deklaracja
łaska G1_wylanie
wiolonczela AND_wojciech
rad SUBJ_podważać
prozaik AND_eseista
czoło AND_plecy
prapradziad SUBJ_nagrodzić
hutnik AND_memoriał
urok AND_osobliwość
odrębność G1_przepis
brat G2_garbarnia
faks SUBJ_pójść
wyścig G1_litwina
łotwa AND_litwa
henio SUBJ_podbiegnąć
opończa AND_kurtka
głowa SUBJ_wciągać
rodzaj G1_uprawnienie
hodowla duży
chaos G2_brzydota
wystawienie G1_hamlet
rozsiewanie G2_łatwość
tyberiusz SUBJ_uświadomić
mazurek AND_wędlina
reanimacja natychmiastowy
łącze G2_zaspokojenie
fakt G1_absencja
on G2_łatwość
zbroja AND_tarcza
sztuka G2_wykład
zderzenie SUBJ_zbadać
ciało G1_król
poseł G1_beata
entuzjasta AND_właściciel
tryba G1_pointa
hurtownia G2_kierownik
metro G2_korytarz
fałsz SUBJ_wydawać
okolica zielony
premier G2_teczka
przedstawiciel AND_feministka
kizierowski AND_marek
okręt G1_wołodia
wystąpienie jedyny
rafineria SUBJ_utworzyć
rezygnacja AND_bunt
pasja G2_czytanie
pies G2_oddawanie
rada pierwszy
realia G1_udostępnianie
miniatura SUBJ_kliknąć
kontur G1_tłum
sąsiad SUBJ_podsłuchiwać
kombajn wydechowy
liść G1_bolszewik
kurka AND_kapturek
zasiłek niższy
dezintegracja AND_trwałość
stopień G1_ekspresja
zdjęcie G2_podstawa
patronat wysoki
wojciech AND_teresa
milicjant SUBJ_podejść
choroba AND_rekonwalescencja
szaleństwo G2_cień
hodowla G2_umiejętność
piłkarz G2_wizerunek
zimowanie ponowny
zapobieganie G2_dzieciak
dawkowanie G1_woda
garbarnia AND_lwów
wspieranie G1_sektor
drzewostan G2_zniekształcanie
mrowie G1_żołnierz
zagrożenie AND_przestępczość
niemoc zorganizowany
zamek przebudowany
polemika G2_moment
amator G2_wołomin
przykład AND_test
radna młodzieżowy
blok G2_konstruowanie
okazywanie SUBJ_zanikać
przyzwyczajenie zgubny
obrona G1_zamek
udziałowiec AND_sponsor
biuro zewnętrzny
rzut oddany
mnóstwo G1_oferta
czarownica SUBJ_ogłaszać
nośnik G1_upowszechnianie
mędrzec SUBJ_poruszyć
ząbek SUBJ_potrącić
minimum AND_utrzymanie
tor G1_planeta
zamiana G2_tabela
boom naftowy
australia G2_stanowisko
kwatera G2_podziemie
auto G2_okradanie
intensyfikacja G2_warunek
przebijanie G1_mur
kucharka naczelny
towarzystwo SUBJ_bulwersować
chłodnik SUBJ_obiecać
linia G1_zmywarka
prywatyzacja dalszy
smycz SUBJ_zawierać
słońce SUBJ_rozwozić
odchudzanie G1_kadra
władek AND_marusarz
pustka AND_niewiedza
poseł odpowiedzialny
namaszczenie AND_jak
kurczak G2_kawałek
niż SUBJ_zrzeknąć
witold G2_memoriał
nieudacznik G2_pesymizm
zarośle wiklinowy
przywilej otrzymany
vancouver SUBJ_znajdować
pokazanie G2_szansa
boisko AND_wejście
śmiecie G2_nadmiar
michał SUBJ_zauroczyć
wolnomyśliciel AND_socjaldemokrata
wiek SUBJ_starczyć
wzlot G2_łańcuch
zespół AND_wilk
nuda G2_dzieje
hasło G1_oswobodzenie
wodospad liczny
bat SUBJ_świsnąć
komenda AND_drużyna
opłata G2_rama
wzór G1_nominacja
goa G2_obranie
tolerancja G2_doba
henr G1_james
deszcz SUBJ_popsuć
podawanie G2_tydzień
komuna SUBJ_degradować
aranżacja G2_różnorodność
zasada materialnoprawny
jazda SUBJ_znosić
ściąga G1_zadłużenie
praca G2_promotor
dowcipniś SUBJ_podpalić
poczekalnia kolejowy
buta SUBJ_popękać
złoto G2_przepych
średniowiecze środkowy
tworzenie AND_uczenie
strach AND_skrępowanie
zaduszenie G2_groźba
sytuacja ryzykowny
ustanowienie AND_wieczerza
urszula SUBJ_kupić
gąsior SUBJ_gadać
radny SUBJ_podjąć
wóda AND_przestworze
światełko SUBJ_rozdawać
ograniczenie AND_kodeks
rozstrzelanie SUBJ_odbyć
imieniny G1_dowódca
dziecko związany
rewizyta AND_rumunia
drzemka AND_unikanie
rzut AND_dal
skrzyżowanie G1_piesek
lipnik cały
grzywka G2_połowa
dzień AND_noc
nudność SUBJ_wywołać
smycz AND_torebka
histogram AND_diagram
alberta G2_kuzyn
harcmistrz G1_fabianin
sukces G1_tucholanka
rozkopywanie G2_sposób
szok swoisty
marszałek G2_druk
karczma przydrożny
żal G1_kierowniczka
okrzyk AND_wybuch
rezultat G1_badanie
urzędnik G1_indiana
całość G2_sfinansowanie
zawieszenie AND_prośba
żargon G2_używanie
roślina SUBJ_uodparniać
wzorzec G1_hierarchia
wyzwalacz G1_reakcja
wóz G2_wyposażenie
odwrócenie AND_emisja
tancerz AND_poeta
karpaty G1_młodzieżowiec
polka G1_epoka
torba SUBJ_nieść
myśl G1_posądzanie
spółdzielnia G1_tomaszewski
fitoncyd silny
konin SUBJ_zauroczyć
gangster SUBJ_zabraknąć
dzieciństwo SUBJ_wycofywać
sprawozdanie osobny
wzgląd G1_transformacja
inicjatywa G1_autorstwo
usta SUBJ_odłączyć
tajlandia AND_birma
podwijanie G1_ogon
ograniczenie G1_reglamentacja
samolot stojący
mięso najlepszy
goa G2_bojówka
pomarańcza AND_błękit
światło G1_trudność
zabarwienie szarawy
ściana AND_hałda
społeczeństwo G1_oszczędność
organizacja G1_laikat
ala AND_chmura
psychiatria G2_doktor
wypiek G2_degustacja
rower SUBJ_uratować
brak G1_adoracja
rosja AND_car
hałas dziwny
przypadek G1_podpunkt
uchwyt SUBJ_poprawić
rozdzielanie G1_historia
wybór niedawny
pogląd G1_rakowski
okazywanie G1_uznanie
termos G1_pięcie
zmaganie SUBJ_pokazywać
afera pierwszy
rama G1_hiacynt
oficer AND_dzielna
lepkość G1_błona
plansza AND_świeczka
pogranicznik SUBJ_poznać
tylka G1_folia
sprawa G1_homologacja
sprawozdanie G2_poetyka
żelazo AND_ogień
łucznik SUBJ_wybudować
ranga G1_obchód
sznurek G1_korzonek
województwo G2_podejście
spisanie G1_dokument
beza G2_budowlaniec
narastanie AND_agresywność
odpoczynek SUBJ_odmówić
agencja SUBJ_martwić
wpływ G2_margines
utwór G1_reprezentant
baba SUBJ_pośmiać
runda czwartkowy
wydobycie G2_zwiększanie
zamarznięcie AND_pęknięcie
presja G1_globalizacja
offset AND_polonizacja
węgiel G2_zima
nędza G2_awangarda
piotr SUBJ_wychować
butelka G1_typ
kwestia G1_nasycenie
kończyna G2_drżenie
debata fascynujący
wydatkowanie AND_łaknienie
strzałka SUBJ_puszczać
antykwariat miejscowy
półksiężyc AND_skóra
obwód G1_wał
orbita G1_życie
dodatek nadchodzący
dyrektywa AND_wskazówka
blacha SUBJ_posmarować
ból AND_udręczenie
michał AND_fabiański
francja G2_miasto
maczanie AND_pieniądz
urodzaj AND_rozrodczość
wojciech G2_mebel
potencjał G2_utrzymywanie
wniosek G2_wypisywanie
lazur AND_złoto
czwartek czarny
kuracja drogi
kaszub AND_mieszkaniec
zgroza AND_odrobina
konfederacja G2_pułkownik
daniel G2_znalezisko
okupant SUBJ_zmienić
siła G1_akademiczka
żabot SUBJ_lubić
tatry SUBJ_spenetrować
producentka AND_montażysta
omar SUBJ_ukryć
południe G1_hejnał
borka G2_folwarczek
gotowość SUBJ_czekać
bank SUBJ_rozbić
sformułowanie skomplikowany
prawnik dzielny
odnoga zaznaczony
podział SUBJ_zarysować
pomnik cmentarny
forma patriarchalny
test polski
motocykl G2_punkt
leże G2_aleks
zachwyt G2_obiekt
karaś SUBJ_dotrzeć
wywieszanie G2_zakaz
kompost G2_wapno
pomijanie G1_numer
łóżko G2_ułożenie
łatka tępy
cal G1_sfinalizowanie
imperializm AND_neofaszyzm
pokora AND_bieda
wino G2_flacha
formowanie SUBJ_przyspieszyć
rodzina burżuazyjny
zaświadczenie złożony
franciszek AND_wigura
obserwacja długookresowy
skupienie AND_wypoczynek
lekcja AND_kurs
światłowstręt AND_nadwrażliwość
celt G2_ziemia
świat G1_współczesność
gabriel G2_dzieło
młodziak SUBJ_traktować
profesor G1_anna
recepta G2_sterta
pieniążek SUBJ_eksperymentować
tomka AND_anioł
błoto SUBJ_przejmować
siedzisko SUBJ_przewidywać
ubój SUBJ_dostać_dostoi
karawana SUBJ_wędrować
ocena bezmyślny
cykl AND_sektor
basen AND_teatr
rap G1_trąbka
stopa długookresowy
zginacz G2_grupa
wyposażenie G1_przewoźnik
usunięcie G1_chromatyna
skala G1_koloryt
szwagier chory
przetworzenie AND_rozwinięcie
kurs AND_szkółka
pociąg AND_targowisko
ucho oklapnięty
solipsyzm G2_wypadek
piekiełko SUBJ_opuścić
brzmienie nienaturalny
wkład G2_kwota
fiodor G2_ekspedycja
podmiot nieistniejący
przesłanie SUBJ_wywołać
imię alternatywny
wieloznaczność SUBJ_lubić
koło G1_przełęcz
przekładnia zwykły
zjawa G1_płeć
obsługiwanie AND_praca
strażak SUBJ_grać
tłumienie AND_szturm
metan AND_amoniak
macierzyństwo G2_istota
natężenie G1_kontakt
współpraca AND_współodpowiedzialność
nazwa G1_pupa
rozkaz SUBJ_otrzymywać
ekipa G2_walkower
panna grzeczny
oddychanie SUBJ_uniemożliwiać
gałąź SUBJ_poddać
odniesienie G2_wytropienie
informacja włocławski
potomstwo SUBJ_bawić
data AND_linek
czartoryski AND_księżna
uderzenie G1_orłowski
senator G1_teresa
ścieżka pewny
przemoc AND_bezprawie
kochanek G2_jezioro
barak G1_straż
odprowadzenie AND_inwestycja
sejm silny
święta SUBJ_sklepać
rozmowa AND_pozowanie
harcerz G2_przygotowanie
rolnik SUBJ_zabijać
fundusz SUBJ_rozdzielać
data SUBJ_sprawdzać
wygląd AND_stan
skupienie G1_uwaga
choroba następujący
rzecz sprzedający
smagnięcie G1_skalpel
sfinalizowanie G2_żądanie
nieuchronność AND_pewność
dopełnienie G1_dzieło
igła SUBJ_chodzić
stal G2_german
oko_oczy G1_terapeutka
swoboda AND_przestrzeń
struna G2_przeciwnik
żywotność G1_panel
rozkaz G1_rozformowanie
szpieg fikcyjny
uniemożliwianie G1_korzystanie
wzorzec SUBJ_decydować
kwitnienie AND_obradzanie
ogłoszenie AND_wzór
europa AND_olimpijczyk
zdrada SUBJ_przeboleć
ideał SUBJ_walczyć
kuracja AND_środek
miller AND_kulczyk
rączka G1_przewodniczący
cham AND_gangster
kuba SUBJ_skoczyć
przekazanie G2_zwolennik
skupienie AND_inspiracja
przypadek G1_oparzelina
sprawa odmienny
krwawienie G2_dolinka
genscher SUBJ_podpisać
przekonanie G2_oczyszczenie
kwarta SUBJ_zakończyć
tło SUBJ_zastąpić
zmiana G1_konsystencja
asysta G2_ramię
forma organizacyjny
powodzenie G1_gospodarstwo
poznanie AND_dowiedzenie
dom przechodni
fundusz SUBJ_przeanalizować
koniunktura G2_pomiar
zachowanie SUBJ_wymusić
szkoła G2_poddanie
lina G2_powierzchnia
janik SUBJ_zremisować
posadowienie G1_aparat
łeb SUBJ_walić
koszulina kusy
upór AND_zapał
jakobinizm rzekomy
stanowisko wyczerpujący
studio G1_kulturystyka
moduł G1_zamówienie
tytuł G1_dudziarz
ocena G2_wskaźnik
zwracanie AND_tajemnica
badacz G2_świat
plan G1_start
usta G2_zetknięcie
skała borsuczy
kabel wielożyłowy
ustalenie G1_miednica
krzesło G2_posiadanie
odpis korzystny
dźwięk syreni
defensywa grający
kształt G1_ogonek
tomaszewski AND_wacek
sól znany
sprawa badany
redukcja AND_przyśpieszenie
modyfikacja G2_fragment
sędzia G2_uderzenie
chemia zabójczy
stodoła G2_sklepienie
dziedzina SUBJ_określić
rzut fantastyczny
boja SUBJ_wymijać
przedstawienie G2_fotos
brak G1_respektowanie
wydma SUBJ_rozciągać
płatność AND_produkcja
ślad AND_wyżłobienie
ruszanie AND_wstawanie
audytor AND_prezes
grunt G2_sprzedanie
fraszka AND_wierszyk
klub G2_właściciel
michał AND_góral
wazonik SUBJ_przesunąć
sześćdziesięciolatek AND_dwudziestolatek
łamanie AND_dyktatura
stereotyp G2_stulecie
agroturystyka AND_hodowla
rejon G1_bielawa
